,teamId,min_bins,teamColor,goals,total_goals,share,xG,total_xG,xG_share,teamName
0,8342,"(0, 15]",#206890,9,80,0.1125,8.237964787493775,82.56902566863799,0.09977064305631964,Club Brugge
1,8342,"(15, 30]",#206890,9,80,0.1125,12.37345384736615,82.56902566863799,0.14985587812338605,Club Brugge
2,8342,"(30, 45]",#206890,16,80,0.2,14.588739504623566,82.56902566863799,0.176685377918475,Club Brugge
3,8342,"(45, 60]",#206890,15,80,0.1875,15.287089970066177,82.56902566863799,0.18514315563581416,Club Brugge
4,8342,"(60, 75]",#206890,16,80,0.2,15.729209852516336,82.56902566863799,0.19049770449805278,Club Brugge
5,8342,"(75, 90]",#206890,15,80,0.1875,16.352567706571993,82.56902566863799,0.19804724076795244,Club Brugge
6,8391,"(0, 15]",#375196,7,56,0.125,7.688792836529144,53.43687399264583,0.14388552813900196,FC København
7,8391,"(15, 30]",#375196,9,56,0.16071428571428573,8.345573416609511,53.43687399264583,0.15617630286079343,FC København
8,8391,"(30, 45]",#375196,8,56,0.14285714285714285,7.630760160629803,53.43687399264583,0.1427995238209476,FC København
9,8391,"(45, 60]",#375196,11,56,0.19642857142857142,13.230347437195343,53.43687399264583,0.24758834955458192,FC København
10,8391,"(60, 75]",#375196,9,56,0.16071428571428573,7.420932976335923,53.43687399264583,0.13887288723807492,FC København
11,8391,"(75, 90]",#375196,12,56,0.21428571428571427,9.120467165346103,53.43687399264583,0.17067740838660012,FC København
12,8456,"(0, 15]",#69A8D8,16,96,0.16666666666666666,14.830249475154954,100.77637934842971,0.14715997509575182,Manchester City
13,8456,"(15, 30]",#69A8D8,13,96,0.13541666666666666,14.262368335143721,100.77637934842971,0.1415249131528355,Manchester City
14,8456,"(30, 45]",#69A8D8,14,96,0.14583333333333334,16.311006761278914,100.77637934842971,0.16185347069162265,Manchester City
15,8456,"(45, 60]",#69A8D8,12,96,0.125,15.397273221094222,100.77637934842971,0.15278652915142799,Manchester City
16,8456,"(60, 75]",#69A8D8,18,96,0.1875,15.719773842861636,100.77637934842971,0.15598668998130244,Manchester City
17,8456,"(75, 90]",#69A8D8,23,96,0.23958333333333334,24.255707712896267,100.77637934842971,0.2406884219270596,Manchester City
18,8564,"(0, 15]",#302028,12,68,0.17647058823529413,11.01261014390796,70.57785831752346,0.15603491528976712,AC Milan
19,8564,"(15, 30]",#302028,10,68,0.14705882352941177,9.238863897938323,70.57785831752346,0.13090314892205288,AC Milan
20,8564,"(30, 45]",#302028,11,68,0.16176470588235295,14.991856945385408,70.57785831752346,0.2124158667147193,AC Milan
21,8564,"(45, 60]",#302028,11,68,0.16176470588235295,12.041440570453354,70.57785831752346,0.1706121559580342,AC Milan
22,8564,"(60, 75]",#302028,9,68,0.1323529411764706,9.144755045788001,70.57785831752346,0.1295697441631987,AC Milan
23,8564,"(75, 90]",#302028,15,68,0.22058823529411764,14.148331714050414,70.57785831752346,0.2004641689522277,AC Milan
24,8593,"(0, 15]",#D8394C,9,94,0.09574468085106383,10.175981789356246,97.85668109021596,0.10398862577379682,Ajax
25,8593,"(15, 30]",#D8394C,17,94,0.18085106382978725,11.435091246260438,97.85668109021596,0.11685549845818097,Ajax
26,8593,"(30, 45]",#D8394C,19,94,0.20212765957446807,19.790118553753036,97.85668109021596,0.20223574244775525,Ajax
27,8593,"(45, 60]",#D8394C,9,94,0.09574468085106383,15.271077719982133,97.85668109021596,0.15605554521007545,Ajax
28,8593,"(60, 75]",#D8394C,14,94,0.14893617021276595,15.630965486157852,97.85668109021596,0.15973324776616288,Ajax
29,8593,"(75, 90]",#D8394C,26,94,0.2765957446808511,25.55301886979857,97.85668109021596,0.26112697247764566,Ajax
30,8633,"(0, 15]",#085098,8,80,0.1,9.733096664378602,81.04541647185053,0.12009435065040593,Real Madrid
31,8633,"(15, 30]",#085098,9,80,0.1125,7.95530494537787,81.04541647185053,0.098158604048151,Real Madrid
32,8633,"(30, 45]",#085098,13,80,0.1625,14.614904609092148,81.04541647185053,0.1803298106829809,Real Madrid
33,8633,"(45, 60]",#085098,13,80,0.1625,12.840245026661606,81.04541647185053,0.1584327107643577,Real Madrid
34,8633,"(60, 75]",#085098,12,80,0.15,13.458805927373216,81.04541647185053,0.1660649856990723,Real Madrid
35,8633,"(75, 90]",#085098,25,80,0.3125,22.4430592989671,81.04541647185053,0.27691953815503234,Real Madrid
36,9773,"(0, 15]",#005898,3,83,0.03614457831325301,8.13057404905426,87.93649821846317,0.09245960680461987,FC Porto
37,9773,"(15, 30]",#005898,13,83,0.1566265060240964,16.53945622130437,87.93649821846317,0.1880840897281914,FC Porto
38,9773,"(30, 45]",#005898,23,83,0.27710843373493976,15.029346349235142,87.93649821846317,0.17091135823827444,FC Porto
39,9773,"(45, 60]",#005898,17,83,0.20481927710843373,14.23245323299672,87.93649821846317,0.16184921530123508,FC Porto
40,9773,"(60, 75]",#005898,11,83,0.13253012048192772,14.805411895830696,87.93649821846317,0.1683648109235506,FC Porto
41,9773,"(75, 90]",#005898,16,83,0.1927710843373494,19.199256470041988,87.93649821846317,0.21833091900412868,FC Porto
42,9823,"(0, 15]",#a00028,11,93,0.11827956989247312,14.726359413405747,98.43821908290148,0.14960001867774228,Bayern München
43,9823,"(15, 30]",#a00028,15,93,0.16129032258064516,11.79097110637625,98.43821908290148,0.11978041878679536,Bayern München
44,9823,"(30, 45]",#a00028,22,93,0.23655913978494625,18.039395054048597,98.43821908290148,0.18325600790132543,Bayern München
