,Pos,Age,Starts,Player,urls,scouting_url,match_logs,position_group
8,DF,30.0,22,Lukas Kubler,https://fbref.com/en/players/2a29eb9b/Lukas-Kubler,https://fbref.com/en/players/2a29eb9b/scout/365_m1/Lukas-Kubler-Scouting-Report,https://fbref.com/en/players/2a29eb9b/matchlogs/2022-2023/summary/Lukas-Kubler-Match-Logs,Defender
9,"MF,FW",26.0,22,Roland Sallai,https://fbref.com/en/players/bf075f6b/Roland-Sallai,https://fbref.com/en/players/bf075f6b/scout/365_m1/Roland-Sallai-Scouting-Report,https://fbref.com/en/players/bf075f6b/matchlogs/2022-2023/summary/Roland-Sallai-Match-Logs,Attacking Midfielders
10,DF,21.0,20,Kiliann Sildillia,https://fbref.com/en/players/313254a3/Kiliann-Sildillia,https://fbref.com/en/players/313254a3/scout/365_m1/Kiliann-Sildillia-Scouting-Report,https://fbref.com/en/players/313254a3/matchlogs/2022-2023/summary/Kiliann-Sildillia-Match-Logs,Defender
11,FW,29.0,19,Michael Gregoritsch,https://fbref.com/en/players/8e235926/Michael-Gregoritsch,https://fbref.com/en/players/8e235926/scout/365_m1/Michael-Gregoritsch-Scouting-Report,https://fbref.com/en/players/8e235926/matchlogs/2022-2023/summary/Michael-Gregoritsch-Match-Logs,Forwards
12,"MF,FW",21.0,17,Merlin Rohl,https://fbref.com/en/players/1f2c7b55/Merlin-Rohl,https://fbref.com/en/players/1f2c7b55/scout/365_m1/Merlin-Rohl-Scouting-Report,https://fbref.com/en/players/1f2c7b55/matchlogs/2022-2023/summary/Merlin-Rohl-Match-Logs,Attacking Midfielders
13,DF,27.0,14,Philipp Lienhart,https://fbref.com/en/players/302527b2/Philipp-Lienhart,https://fbref.com/en/players/302527b2/scout/365_m1/Philipp-Lienhart-Scouting-Report,https://fbref.com/en/players/302527b2/matchlogs/2022-2023/summary/Philipp-Lienhart-Match-Logs,Defender
14,DF,30.0,13,Christian Gunter,https://fbref.com/en/players/8593f88c/Christian-Gunter,https://fbref.com/en/players/8593f88c/scout/365_m1/Christian-Gunter-Scouting-Report,https://fbref.com/en/players/8593f88c/matchlogs/2022-2023/summary/Christian-Gunter-Match-Logs,Defender
15,"DF,MF",23.0,11,Yannik Keitel,https://fbref.com/en/players/d2c580ce/Yannik-Keitel,https://fbref.com/en/players/d2c580ce/scout/365_m1/Yannik-Keitel-Scouting-Report,https://fbref.com/en/players/d2c580ce/matchlogs/2022-2023/summary/Yannik-Keitel-Match-Logs,Defender
16,DF,21.0,10,Jordy Makengo,https://fbref.com/en/players/14b09c41/Jordy-Makengo,https://fbref.com/en/players/14b09c41/scout/365_m1/Jordy-Makengo-Scouting-Report,https://fbref.com/en/players/14b09c41/matchlogs/2022-2023/summary/Jordy-Makengo-Match-Logs,Defender
17,"DF,FW",21.0,6,Noah Weisshaupt,https://fbref.com/en/players/dd676a97/Noah-Weisshaupt,https://fbref.com/en/players/dd676a97/scout/365_m1/Noah-Weisshaupt-Scouting-Report,https://fbref.com/en/players/dd676a97/matchlogs/2022-2023/summary/Noah-Weisshaupt-Match-Logs,Wing-Back
18,"FW,MF",29.0,1,Maximilian Philipp,https://fbref.com/en/players/061e8e23/Maximilian-Philipp,https://fbref.com/en/players/061e8e23/scout/365_m1/Maximilian-Philipp-Scouting-Report,https://fbref.com/en/players/061e8e23/matchlogs/2022-2023/summary/Maximilian-Philipp-Match-Logs,Attacking Midfielders
19,"FW,MF",22.0,0,Junior Adamu,https://fbref.com/en/players/82e12fe7/Junior-Adamu,https://fbref.com/en/players/82e12fe7/scout/365_m1/Junior-Adamu-Scouting-Report,https://fbref.com/en/players/82e12fe7/matchlogs/2022-2023/summary/Junior-Adamu-Match-Logs,Attacking Midfielders
20,"MF,FW",25.0,0,Florent Muslija,https://fbref.com/en/players/ae961785/Florent-Muslija,https://fbref.com/en/players/ae961785/scout/365_m1/Florent-Muslija-Scouting-Report,https://fbref.com/en/players/ae961785/matchlogs/2022-2023/summary/Florent-Muslija-Match-Logs,Attacking Midfielders
21,DF,25.0,0,Attila Szalai,https://fbref.com/en/players/50ff205b/Attila-Szalai,https://fbref.com/en/players/50ff205b/scout/365_m1/Attila-Szalai-Scouting-Report,https://fbref.com/en/players/50ff205b/matchlogs/2022-2023/summary/Attila-Szalai-Match-Logs,Defender
22,DF,21.0,0,Kenneth Schmidt,https://fbref.com/en/players/7d31f1cb/Kenneth-Schmidt,https://fbref.com/en/players/7d31f1cb/scout/365_m1/Kenneth-Schmidt-Scouting-Report,https://fbref.com/en/players/7d31f1cb/matchlogs/2022-2023/summary/Kenneth-Schmidt-Match-Logs,Defender
23,FW,22.0,0,Maximilian Breunig,https://fbref.com/en/players/1e37c986/Maximilian-Breunig,https://fbref.com/en/players/1e37c986/scout/365_m1/Maximilian-Breunig-Scouting-Report,https://fbref.com/en/players/1e37c986/matchlogs/2022-2023/summary/Maximilian-Breunig-Match-Logs,Forwards
24,MF,26.0,0,Fabian Rudlin,https://fbref.com/en/players/96cfb5e2/Fabian-Rudlin,https://fbref.com/en/players/96cfb5e2/scout/365_m1/Fabian-Rudlin-Scouting-Report,https://fbref.com/en/players/96cfb5e2/matchlogs/2022-2023/summary/Fabian-Rudlin-Match-Logs,Central Midfielders
25,MF,19.0,0,Mika Baur,https://fbref.com/en/players/e4edafab/Mika-Baur,https://fbref.com/en/players/e4edafab/scout/365_m1/Mika-Baur-Scouting-Report,https://fbref.com/en/players/e4edafab/matchlogs/2022-2023/summary/Mika-Baur-Match-Logs,Central Midfielders
26,MF,22.0,0,Ryan Johansson,https://fbref.com/en/players/93750f7d/Ryan-Johansson,https://fbref.com/en/players/93750f7d/scout/365_m1/Ryan-Johansson-Scouting-Report,https://fbref.com/en/players/93750f7d/matchlogs/2022-2023/summary/Ryan-Johansson-Match-Logs,Central Midfielders
27,GK,25.0,0,Florian Muller,https://fbref.com/en/players/cbac6ec9/Florian-Muller,https://fbref.com/en/players/cbac6ec9/scout/365_m1/Florian-Muller-Scouting-Report,https://fbref.com/en/players/cbac6ec9/matchlogs/2022-2023/summary/Florian-Muller-Match-Logs,GK
28,DF,20.0,0,Max Rosenfelder,https://fbref.com/en/players/b6ceba6b/Max-Rosenfelder,https://fbref.com/en/players/b6ceba6b/scout/365_m1/Max-Rosenfelder-Scouting-Report,https://fbref.com/en/players/b6ceba6b/matchlogs/2022-2023/summary/Max-Rosenfelder-Match-Logs,Defender
29,DF,26.0,0,Keven Schlotterbeck,https://fbref.com/en/players/f6bdc830/Keven-Schlotterbeck,https://fbref.com/en/players/f6bdc830/scout/365_m1/Keven-Schlotterbeck-Scouting-Report,https://fbref.com/en/players/f6bdc830/matchlogs/2022-2023/summary/Keven-Schlotterbeck-Match-Logs,Defender
0,DF,23.0,32,Nico Schlotterbeck,https://fbref.com/en/players/34e12499/Nico-Schlotterbeck,https://fbref.com/en/players/34e12499/scout/365_m1/Nico-Schlotterbeck-Scouting-Report,https://fbref.com/en/players/34e12499/matchlogs/2022-2023/summary/Nico-Schlotterbeck-Match-Logs,Defender
1,GK,25.0,27,Gregor Kobel,https://fbref.com/en/players/cd59b9df/Gregor-Kobel,https://fbref.com/en/players/cd59b9df/scout/365_m1/Gregor-Kobel-Scouting-Report,https://fbref.com/en/players/cd59b9df/matchlogs/2022-2023/summary/Gregor-Kobel-Match-Logs,GK
2,FW,30.0,27,Niclas Fullkrug,https://fbref.com/en/players/4f16405e/Niclas-Fullkrug,https://fbref.com/en/players/4f16405e/scout/365_m1/Niclas-Fullkrug-Scouting-Report,https://fbref.com/en/players/4f16405e/matchlogs/2022-2023/summary/Niclas-Fullkrug-Match-Logs,Forwards
3,"MF,FW",27.0,26,Julian Brandt,https://fbref.com/en/players/a167537f/Julian-Brandt,https://fbref.com/en/players/a167537f/scout/365_m1/Julian-Brandt-Scouting-Report,https://fbref.com/en/players/a167537f/matchlogs/2022-2023/summary/Julian-Brandt-Match-Logs,Attacking Midfielders
4,MF,29.0,23,Marcel Sabitzer,https://fbref.com/en/players/e280527c/Marcel-Sabitzer,https://fbref.com/en/players/e280527c/scout/365_m1/Marcel-Sabitzer-Scouting-Report,https://fbref.com/en/players/e280527c/matchlogs/2022-2023/summary/Marcel-Sabitzer-Match-Logs,Central Midfielders
5,"MF,DF",29.0,22,Emre Can,https://fbref.com/en/players/a65ce836/Emre-Can,https://fbref.com/en/players/a65ce836/scout/365_m1/Emre-Can-Scouting-Report,https://fbref.com/en/players/a65ce836/matchlogs/2022-2023/summary/Emre-Can-Match-Logs,Defensive-Midfielders
6,"FW,MF",24.0,21,Donyell Malen,https://fbref.com/en/players/116c35df/Donyell-Malen,https://fbref.com/en/players/116c35df/scout/365_m1/Donyell-Malen-Scouting-Report,https://fbref.com/en/players/116c35df/matchlogs/2022-2023/summary/Donyell-Malen-Match-Logs,Attacking Midfielders
7,DF,25.0,20,Julian Ryerson,https://fbref.com/en/players/009a4f60/Julian-Ryerson,https://fbref.com/en/players/009a4f60/scout/365_m1/Julian-Ryerson-Scouting-Report,https://fbref.com/en/players/009a4f60/matchlogs/2022-2023/summary/Julian-Ryerson-Match-Logs,Defender
8,DF,34.0,20,Mats Hummels,https://fbref.com/en/players/05d548d8/Mats-Hummels,https://fbref.com/en/players/05d548d8/scout/365_m1/Mats-Hummels-Scouting-Report,https://fbref.com/en/players/05d548d8/matchlogs/2022-2023/summary/Mats-Hummels-Match-Logs,Defender
9,"MF,FW",34.0,18,Marco Reus,https://fbref.com/en/players/36a3ff67/Marco-Reus,https://fbref.com/en/players/36a3ff67/scout/365_m1/Marco-Reus-Scouting-Report,https://fbref.com/en/players/36a3ff67/matchlogs/2022-2023/summary/Marco-Reus-Match-Logs,Attacking Midfielders
