,Age,Player,Pos,Starts,Unnamed: 0,match_logs,position_group,scouting_url,urls
1435,26.26849315068493,Zeki Celik,DF,15,11.0,https://fbref.com/en/players/31a62dc7/matchlogs/2022-2023/summary/Zeki-Celik-Match-Logs,Defender,https://fbref.com/en/players/31a62dc7/scout/365_m1/Zeki-Celik-Scouting-Report,https://fbref.com/en/players/31a62dc7/Zeki-Celik
1436,30.578082191780826,Stephan El Shaarawy,"DF,MF",12,12.0,https://fbref.com/en/players/d3aaad90/matchlogs/2022-2023/summary/Stephan-El-Shaarawy-Match-Logs,Defender,https://fbref.com/en/players/d3aaad90/scout/365_m1/Stephan-El-Shaarawy-Scouting-Report,https://fbref.com/en/players/d3aaad90/Stephan-El-Shaarawy
1437,23.898630136986302,Nicolo Zaniolo,"MF,FW",12,13.0,https://fbref.com/en/players/9907b1c8/matchlogs/2022-2023/summary/Nicolo-Zaniolo-Match-Logs,Attacking Midfielders,https://fbref.com/en/players/9907b1c8/scout/365_m1/Nicolo-Zaniolo-Scouting-Report,https://fbref.com/en/players/9907b1c8/Nicolo-Zaniolo
1438,29.43013698630137,Andrea Belotti,FW,9,14.0,https://fbref.com/en/players/d705ba44/matchlogs/2022-2023/summary/Andrea-Belotti-Match-Logs,Forwards,https://fbref.com/en/players/d705ba44/scout/365_m1/Andrea-Belotti-Scouting-Report,https://fbref.com/en/players/d705ba44/Andrea-Belotti
1439,32.536986301369865,Georginio Wijnaldum,MF,9,15.0,https://fbref.com/en/players/eb58eef0/matchlogs/2022-2023/summary/Georginio-Wijnaldum-Match-Logs,Central Midfielders,https://fbref.com/en/players/eb58eef0/scout/365_m1/Georginio-Wijnaldum-Scouting-Report,https://fbref.com/en/players/eb58eef0/Georginio-Wijnaldum
1440,21.02739726027397,Edoardo Bove,"MF,DF",8,16.0,https://fbref.com/en/players/ae94a6c5/matchlogs/2022-2023/summary/Edoardo-Bove-Match-Logs,Defensive-Midfielders,https://fbref.com/en/players/ae94a6c5/scout/365_m1/Edoardo-Bove-Scouting-Report,https://fbref.com/en/players/ae94a6c5/Edoardo-Bove
1441,28.28493150684932,Rick Karsdorp,DF,8,17.0,https://fbref.com/en/players/9f84febe/matchlogs/2022-2023/summary/Rick-Karsdorp-Match-Logs,Defender,https://fbref.com/en/players/9f84febe/scout/365_m1/Rick-Karsdorp-Scouting-Report,https://fbref.com/en/players/9f84febe/Rick-Karsdorp
1442,26.23835616438356,Mohamed Camara,MF,8,18.0,https://fbref.com/en/players/13ea2544/matchlogs/2022-2023/summary/Mohamed-Camara-Match-Logs,Central Midfielders,https://fbref.com/en/players/13ea2544/scout/365_m1/Mohamed-Camara-Scouting-Report,https://fbref.com/en/players/13ea2544/Mohamed-Camara
1443,24.71506849315068,Ola Solbakken,"MF,FW",6,19.0,https://fbref.com/en/players/78f13530/matchlogs/2022-2023/summary/Ola-Solbakken-Match-Logs,Attacking Midfielders,https://fbref.com/en/players/78f13530/scout/365_m1/Ola-Solbakken-Scouting-Report,https://fbref.com/en/players/78f13530/Ola-Solbakken
1444,23.29315068493151,Marash Kumbulla,DF,5,20.0,https://fbref.com/en/players/a40819d9/matchlogs/2022-2023/summary/Marash-Kumbulla-Match-Logs,Defender,https://fbref.com/en/players/a40819d9/scout/365_m1/Marash-Kumbulla-Scouting-Report,https://fbref.com/en/players/a40819d9/Marash-Kumbulla
1445,29.775342465753425,Diego Llorente,DF,4,21.0,https://fbref.com/en/players/bba30585/matchlogs/2022-2023/summary/Diego-Llorente-Match-Logs,Defender,https://fbref.com/en/players/bba30585/scout/365_m1/Diego-Llorente-Scouting-Report,https://fbref.com/en/players/bba30585/Diego-Llorente
1446,20.23013698630137,Benjamin Tahirovic,MF,3,22.0,https://fbref.com/en/players/eb3022c3/matchlogs/2022-2023/summary/Benjamin-Tahirovic-Match-Logs,Central Midfielders,https://fbref.com/en/players/eb3022c3/scout/365_m1/Benjamin-Tahirovic-Scouting-Report,https://fbref.com/en/players/eb3022c3/Benjamin-Tahirovic
1447,19.526027397260272,Cristian Volpato,MF,2,23.0,https://fbref.com/en/players/72f87f25/matchlogs/2022-2023/summary/Cristian-Volpato-Match-Logs,Central Midfielders,https://fbref.com/en/players/72f87f25/scout/365_m1/Cristian-Volpato-Scouting-Report,https://fbref.com/en/players/72f87f25/Cristian-Volpato
1448,27.906849315068488,Eldor Shomurodov,FW,1,24.0,https://fbref.com/en/players/57469b2d/matchlogs/2022-2023/summary/Eldor-Shomurodov-Match-Logs,Forwards,https://fbref.com/en/players/57469b2d/scout/365_m1/Eldor-Shomurodov-Scouting-Report,https://fbref.com/en/players/57469b2d/Eldor-Shomurodov
1449,19.172602739726027,Filippo Missori,DF,1,25.0,https://fbref.com/en/players/2d3d7c0d/matchlogs/2022-2023/summary/Filippo-Missori-Match-Logs,Defender,https://fbref.com/en/players/2d3d7c0d/scout/365_m1/Filippo-Missori-Scouting-Report,https://fbref.com/en/players/2d3d7c0d/Filippo-Missori
1450,23.745205479452054,Mile Svilar,GK,1,26.0,https://fbref.com/en/players/bcf5058a/matchlogs/2022-2023/summary/Mile-Svilar-Match-Logs,GK,https://fbref.com/en/players/bcf5058a/scout/365_m1/Mile-Svilar-Scouting-Report,https://fbref.com/en/players/bcf5058a/Mile-Svilar
1451,25.542465753424654,Matias Vina,DF,1,27.0,https://fbref.com/en/players/08eb3b58/matchlogs/2022-2023/summary/Matias-Vina-Match-Logs,Defender,https://fbref.com/en/players/08eb3b58/scout/365_m1/Matias-Vina-Scouting-Report,https://fbref.com/en/players/08eb3b58/Matias-Vina
1452,18.630136986301373,Jordan Majchrzak,FW,0,28.0,https://fbref.com/en/players/2e7dafe5/matchlogs/2022-2023/summary/Jordan-Majchrzak-Match-Logs,Forwards,https://fbref.com/en/players/2e7dafe5/scout/365_m1/Jordan-Majchrzak-Scouting-Report,https://fbref.com/en/players/2e7dafe5/Jordan-Majchrzak
1453,18.671232876712327,Niccolo Pisilli,MF,0,29.0,https://fbref.com/en/players/c84dcc88/matchlogs/2022-2023/summary/Niccolo-Pisilli-Match-Logs,Central Midfielders,https://fbref.com/en/players/c84dcc88/scout/365_m1/Niccolo-Pisilli-Scouting-Report,https://fbref.com/en/players/c84dcc88/Niccolo-Pisilli
1454,20.34794520547945,Felix Afena Gyan,FW,0,30.0,https://fbref.com/en/players/0154d290/matchlogs/2022-2023/summary/Felix-Afena-Gyan-Match-Logs,Forwards,https://fbref.com/en/players/0154d290/scout/365_m1/Felix-Afena-Gyan-Scouting-Report,https://fbref.com/en/players/0154d290/Felix-Afena-Gyan
1455,21.038356164383558,Pietro Boer,GK,0,31.0,https://fbref.com/en/players/b4a98bb4/matchlogs/2022-2023/summary/Pietro-Boer-Match-Logs,GK,https://fbref.com/en/players/b4a98bb4/scout/365_m1/Pietro-Boer-Scouting-Report,https://fbref.com/en/players/b4a98bb4/Pietro-Boer
1456,19.358904109589037,Luigi Cherubini,FW,0,32.0,https://fbref.com/en/players/5aa1a2a7/matchlogs/2022-2023/summary/Luigi-Cherubini-Match-Logs,Forwards,https://fbref.com/en/players/5aa1a2a7/scout/365_m1/Luigi-Cherubini-Scouting-Report,https://fbref.com/en/players/5aa1a2a7/Luigi-Cherubini
1457,21.96986301369863,Ebrima Darboe,MF,0,33.0,https://fbref.com/en/players/cf043a33/matchlogs/2022-2023/summary/Ebrima-Darboe-Match-Logs,Central Midfielders,https://fbref.com/en/players/cf043a33/scout/365_m1/Ebrima-Darboe-Scouting-Report,https://fbref.com/en/players/cf043a33/Ebrima-Darboe
1458,18.66575342465753,Jacopo Del Bello,GK,0,34.0,https://fbref.com/en/players/83a80305/matchlogs/2022-2023/summary/Jacopo-Del-Bello-Match-Logs,GK,https://fbref.com/en/players/83a80305/scout/365_m1/Jacopo-Del-Bello-Scouting-Report,https://fbref.com/en/players/83a80305/Jacopo-Del-Bello
1459,19.07945205479452,Matteo Falasca,DF,0,35.0,https://fbref.com/en/players/3a33f528/matchlogs/2022-2023/summary/Matteo-Falasca-Match-Logs,Defender,https://fbref.com/en/players/3a33f528/scout/365_m1/Matteo-Falasca-Scouting-Report,https://fbref.com/en/players/3a33f528/Matteo-Falasca
1460,18.819178082191783,Giacomo Faticanti,MF,0,36.0,https://fbref.com/en/players/4c1e579e/matchlogs/2022-2023/summary/Giacomo-Faticanti-Match-Logs,Central Midfielders,https://fbref.com/en/players/4c1e579e/scout/365_m1/Giacomo-Faticanti-Scouting-Report,https://fbref.com/en/players/4c1e579e/Giacomo-Faticanti
1461,18.9013698630137,Dimitrios Keramitsis,DF,0,37.0,https://fbref.com/en/players/6f30a1d5/matchlogs/2022-2023/summary/Dimitrios-Keramitsis-Match-Logs,Defender,https://fbref.com/en/players/6f30a1d5/scout/365_m1/Dimitrios-Keramitsis-Scouting-Report,https://fbref.com/en/players/6f30a1d5/Dimitrios-Keramitsis
1462,20.23835616438356,Corentin Louakima,DF,0,38.0,https://fbref.com/en/players/2a0c357c/matchlogs/2022-2023/summary/Corentin-Louakima-Match-Logs,Defender,https://fbref.com/en/players/2a0c357c/scout/365_m1/Corentin-Louakima-Scouting-Report,https://fbref.com/en/players/2a0c357c/Corentin-Louakima
