,Player,Nation,Pos,Age,new_pound_value
7,Christian Nørgaard,dk DEN,MF,30.0,35000
8,Rico Henry,eng ENG,DF,27.0,35000
9,Keane Lewis-Potter,eng ENG,"DF,FW",23.0,35000
10,Mikkel Damsgaard,dk DEN,"MF,FW",24.0,30000
11,Nathan Collins,ie IRL,DF,23.0,30000
12,Mark Flekken,nl NED,GK,31.0,30000
13,Josh Dasilva,eng ENG,CM,25.0,30000
14,Vitaly Janelt,de GER,MF,26.0,30000
15,Ethan Pinnock,jm JAM,DF,31.0,30000
16,Yoane Wissa,cd COD,FW,27.0,25000
17,Gustavo Nunes,,LW,18.0,25000
18,Sepp van den Berg,nl NED,DF,22.0,20000
19,Mads Roerslev,dk DEN,DF,25.0,20000
20,Jayden Meghoma,,LB,18.0,15000
21,Yunus Emre Konak,,DM,19.0,15000
22,Kevin Schade,de GER,FW,22.0,10000
23,Hákon Rafn Valdimarsson,,GK,23.0,10000
24,Matthew Cox,,GK,21.0,7000
25,Ji-soo Kim,,CB,19.0,5000
26,Yegor Yarmolyuk,,AM,20.0,5000
27,Myles Peart-Harris,eng ENG,MF,21.0,5000
28,Paris Maghoma,,CM,23.0,3000
29,Ryan Trevitt,,CM,21.0,2500
0,James Ward-Prowse,eng ENG,MF,29.0,115000
1,Nikola Milenković,rs SRB,DF,26.0,105000
2,Callum Hudson-Odoi,eng ENG,"FW,MF",23.0,80000
3,Chris Wood,nz NZL,FW,32.0,80000
4,Morgan Gibbs-White,eng ENG,MF,24.0,80000
5,Ibrahim Sangaré,ci CIV,MF,26.0,75000
6,Neco Williams,wls WAL,DF,23.0,50000
7,Ryan Yates,eng ENG,MF,26.0,50000
8,Taiwo Awoniyi,ng NGA,FW,26.0,50000
9,Emmanuel Dennis,ng NGA,CF,26.0,40000
10,Elliot Anderson,eng ENG,MF,21.0,40000
11,Willy Boly,ci CIV,DF,33.0,40000
12,Ola Aina,ng NGA,DF,27.0,40000
13,Álex Moreno,es ESP,"DF,MF",31.0,35000
14,Morato,br BRA,DF,23.0,35000
15,Matz Sels,be BEL,GK,32.0,35000
16,Nicolás Domínguez,ar ARG,"MF,FW",26.0,35000
17,Harry Toffolo,eng ENG,DF,28.0,35000
18,Andrew Omobamidele,ie IRL,DF,22.0,35000
19,Danilo,br BRA,"MF,FW",23.0,30000
20,Ramón Sosa,py PAR,"FW,MF",24.0,30000
21,Murillo,,CB,22.0,30000
22,Jota Silva,pt POR,"FW,MF",24.0,25000
23,Anthony Elanga,se SWE,"FW,MF",22.0,25000
24,Carlos Miguel,br BRA,GK,25.0,15000
25,Lewis O'Brien,eng ENG,CM,26.0,15000
26,Jonathan Panzo,eng ENG,CB,24.0,10000
27,Eric da Silva Moreira,,RW,18.0,8000
28,Zach Abbott,,CB,18.0,3000
0,Aaron Ramsdale,eng ENG,GK,26.0,120000
1,Joe Aribo,ng NGA,"MF,DF",28.0,70000
2,Jan Bednarek,pl POL,DF,28.0,70000
3,Maxwel Cornet,ci CIV,FW,27.0,65000
4,Adam Armstrong,eng ENG,"FW,MF",27.0,60000
5,Jack Stephens,eng ENG,DF,30.0,45000
6,Adam Lallana,eng ENG,MF,36.0,45000
7,Lesley Ugochukwu,fr FRA,MF,20.0,45000
8,Yukinari Sugawara,jp JPN,"DF,MF",24.0,40000
9,Ryan Fraser,sct SCO,"FW,DF",30.0,40000
10,Kamaldeen Sulemana,gh GHA,"FW,MF",22.0,40000
11,Alex McCarthy,eng ENG,GK,34.0,40000
12,Cameron Archer,eng ENG,FW,23.0,40000
13,Ben Brereton,cl CHI,FW,25.0,35000
14,Paul Onuachu,ng NGA,FW,30.0,30000
15,Charlie Taylor,eng ENG,DF,30.0,30000
16,Flynn Downes,eng ENG,MF,25.0,30000
17,William Smallbone,ie IRL,MF,24.0,25000
18,Kyle Walker-Peters,eng ENG,DF,27.0,20000
19,Gavin Bazunu,ie IRL,GK,22.0,20000
20,Ross Stewart,sct SCO,FW,28.0,20000
21,Mateus Fernandes,,CM,20.0,20000
22,Nathan Wood,,CB,22.0,15000
23,Ronnie Edwards,eng ENG,DF,21.0,15000
24,Armel Bella Kotchap,de GER,DF,22.0,15000
25,Ryan Manning,ie IRL,"DF,MF",28.0,15000
26,Samuel Edozie,,LW,21.0,15000
27,Juan Larios,,LB,21.0,15000
28,James Bree,eng ENG,DF,26.0,10000
29,Joe Lumley,eng ENG,GK,29.0,10000
30,Taylor Harwood-Bellis,eng ENG,DF,22.0,7500
31,Shea Charles,,DM,21.0,6000
32,Samuel Amo-Ameyaw,,RW,18.0,5000
33,Tyler Dibling,,RW,18.0,5000
0,Ferdi Kadioglu,tr TUR,"DF,MF",24.0,87500
1,Kaoru Mitoma,jp JPN,"FW,MF",27.0,80000
2,Lewis Dunk,eng ENG,DF,32.0,80000
3,Georginio Rutter,fr FRA,"MF,FW",22.0,75000
4,Mats Wieffer,nl NED,"DF,MF",24.0,60000
5,Danny Welbeck,eng ENG,FW,33.0,60000
6,James Milner,eng ENG,MF,38.0,60000
7,Adam Webster,eng ENG,DF,29.0,55000
8,Pervis Estupiñán,ec ECU,DF,26.0,50000
9,Matt O'Riley,dk DEN,MF,23.0,50000
10,Joël Veltman,nl NED,DF,32.0,50000
11,João Pedro,br BRA,"FW,MF",22.0,50000
12,Solly March,eng ENG,"FW,MF",30.0,50000
13,Brajan Gruda,,RW,20.0,50000
14,Igor,br BRA,DF,26.0,45000
15,Yankuba Minteh,,RW,20.0,40000
16,Tariq Lamptey,gh GHA,DF,23.0,35000
17,Bart Verbruggen,nl NED,GK,21.0,35000
18,Jan Paul van Hecke,nl NED,DF,24.0,30000
19,Evan Ferguson,ie IRL,FW,19.0,30000
20,Jason Steele,eng ENG,GK,33.0,20000
21,Jeremy Sarmiento,ec ECU,MF,22.0,20000
22,Carlos Baleba,,DM,20.0,12500
23,Simon Adingra,ci CIV,"FW,MF",22.0,12500
24,Jakub Moder,pl POL,MF,25.0,10000
25,Jack Hinshelwood,,RB,19.0,10000
26,Julio Enciso,py PAR,"MF,FW",20.0,10000
27,Tom McGill,,GK,25.0,10000
28,Yasin Ayari,,CM,20.0,8000
29,Ed Turns,,CB,21.0,5000
30,Killian Cahill,,GK,20.0,3000
31,Imari Samuels,eng ENG,DF,21.0,3000
32,Carl Rushworth,eng ENG,GK,23.0,3000
0,Reece James,eng ENG,"DF,MF",24.0,250000
1,Wesley Fofana,fr FRA,DF,23.0,200000
2,Ben Chilwell,eng ENG,"DF,MF",27.0,200000
3,Christopher Nkunku,fr FRA,FW,26.0,195000
4,Enzo Fernández,ar ARG,MF,23.0,180000
5,Marc Cucurella,es ESP,DF,26.0,175000
6,Raheem Sterling,eng ENG,LW,29.0,162500
7,Pedro Neto,pt POR,FW,24.0,160000
8,Moisés Caicedo,ec ECU,"MF,DF",22.0,150000
9,Cole Palmer,eng ENG,"MF,FW",22.0,130000
10,João Félix,pt POR,"FW,MF",24.0,130000
11,Tosin Adarabioyo,eng ENG,DF,26.0,120000
12,Carney Chukwuemeka,eng ENG,MF,20.0,100000
13,Mykhailo Mudryk,ua UKR,FW,23.0,100000
14,Levi Colwill,eng ENG,DF,21.0,100000
15,Nicolas Jackson,sn SEN,FW,23.0,100000
16,Benoît Badiashile,fr FRA,DF,23.0,90000
17,Axel Disasi,fr FRA,DF,26.0,80000
18,Kiernan Dewsbury-Hall,eng ENG,"MF,FW",25.0,80000
19,Robert Sánchez,es ESP,GK,26.0,60000
20,Marc Guiu,,CF,18.0,50000
21,Noni Madueke,,RW,22.0,50000
22,Filip Jørgensen,dk DEN,GK,22.0,50000
23,Malo Gusto,fr FRA,DF,21.0,45000
24,Roméo Lavia,,DM,20.0,45000
25,Deivid Washington,,CF,19.0,40000
26,Marcus Bettinelli,eng ENG,GK,32.0,35000
27,Renato Veiga,,LB,21.0,25000
28,Lucas Bergström,fi FIN,GK,21.0,7500
29,Cesare Casadei,,CM,21.0,7500
30,Josh Acheampong,,RB,18.0,5000
0,Son Heung-min,kr KOR,FW,32.0,190000
1,James Maddison,eng ENG,MF,27.0,170000
2,Timo Werner,de GER,"FW,MF",28.0,165000
3,Cristian Romero,ar ARG,DF,26.0,165000
4,Dejan Kulusevski,se SWE,"MF,FW",24.0,110000
5,Richarlison,br BRA,FW,27.0,90000
6,Dominic Solanke,eng ENG,FW,26.0,90000
7,Pedro Porro,es ESP,DF,24.0,85000
8,Radu Drăgușin,ro ROU,DF,22.0,85000
9,Ben Davies,wls WAL,DF,31.0,80000
10,Destiny Udogie,it ITA,DF,21.0,75000
11,Guglielmo Vicario,it ITA,GK,27.0,75000
12,Archie Gray,,CM,18.0,75000
13,Fraser Forster,eng ENG,GK,36.0,75000
14,Rodrigo Bentancur,uy URU,MF,27.0,75000
15,Brennan Johnson,wls WAL,FW,23.0,70000
16,Pape Matar Sarr,sn SEN,MF,21.0,70000
17,Manor Solomon,il ISR,LW,25.0,60000
18,Yves Bissouma,ml MLI,MF,27.0,55000
19,Sergio Reguilón,es ESP,DF,27.0,53000
20,Micky van de Ven,nl NED,DF,23.0,50000
21,Djed Spence,eng ENG,DF,23.0,50000
22,Wilson Odobert,,LW,20.0,25000
23,Lucas Bergvall,,AM,18.0,15000
24,Brandon Austin,eng ENG,GK,25.0,15000
25,Ashley Phillips,,CB,19.0,15000
26,Alfie Whiteman,eng ENG,GK,25.0,7500
0,Bruno Guimarães,br BRA,MF,26.0,160000
1,Lloyd Kelly,eng ENG,DF,25.0,150000
2,Anthony Gordon,eng ENG,"FW,MF",23.0,150000
3,Joelinton,br BRA,"MF,FW",27.0,150000
4,Alexander Isak,se SWE,FW,24.0,120000
5,Sandro Tonali,it ITA,MF,24.0,120000
6,Kieran Trippier,eng ENG,DF,33.0,120000
7,Matt Targett,eng ENG,DF,28.0,100000
8,Sven Botman,nl NED,DF,24.0,90000
9,Joe Willock,eng ENG,"MF,FW",24.0,80000
10,Harvey Barnes,eng ENG,FW,26.0,80000
11,Nick Pope,eng ENG,GK,32.0,60000
12,Miguel Almirón,py PAR,FW,30.0,60000
13,Emil Krafth,se SWE,DF,29.0,55000
14,Dan Burn,eng ENG,DF,32.0,55000
15,Sean Longstaff,eng ENG,MF,26.0,50000
16,Valentino Livramento,eng ENG,DF,21.0,50000
17,Odisseas Vlachodimos,gr GRE,GK,30.0,50000
18,Callum Wilson,eng ENG,FW,32.0,46000
19,Fabian Schär,ch SUI,DF,32.0,45000
20,Jamaal Lascelles,eng ENG,DF,30.0,40000
21,Martin Dúbravka,sk SVK,GK,35.0,40000
22,Jacob Murphy,eng ENG,FW,29.0,35000
23,Isaac Hayden,jm JAM,DM,29.0,22000
24,William Osula,,CF,21.0,20000
25,Mark Gillespie,eng ENG,GK,32.0,10000
26,Harrison Ashby,,RB,23.0,10000
27,John Ruddy,eng ENG,GK,37.0,8000
28,Lewis Hall,,LB,20.0,7000
29,Lewis Miley,,CM,18.0,5000
30,Garang Kuol,,LW,19.0,5000
31,Alex Murphy,,LB,20.0,3000
0,Lucas Paquetá,br BRA,"MF,FW",26.0,150000
1,Jarrod Bowen,eng ENG,"FW,MF",27.0,150000
2,Danny Ings,eng ENG,"FW,MF",32.0,125000
3,Alphonse Areola,fr FRA,GK,31.0,120000
4,Edson Álvarez,mx MEX,MF,26.0,100000
5,Max Kilman,eng ENG,DF,27.0,100000
6,Emerson Palmieri,it ITA,DF,29.0,95000
7,Aaron Wan-Bissaka,eng ENG,DF,26.0,90000
8,Niclas Füllkrug,de GER,FW,31.0,90000
9,Mohammed Kudus,,AM,24.0,90000
10,Tomáš Souček,cz CZE,MF,29.0,90000
11,Michail Antonio,jm JAM,FW,34.0,85000
12,Carlos Soler,es ESP,"MF,FW",27.0,80000
13,Guido Rodríguez,ar ARG,MF,30.0,75000
14,Łukasz Fabiański,pl POL,GK,39.0,65000
15,Aaron Cresswell,eng ENG,DF,34.0,50000
16,Konstantinos Mavropanos,gr GRE,DF,26.0,50000
17,Vladimír Coufal,cz CZE,DF,31.0,35000
18,Crysencio Summerville,nl NED,"FW,MF",22.0,30000
19,Luis Guilherme,,RW,18.0,25000
20,Jean-Clair Todibo,fr FRA,DF,24.0,20000
21,Wes Foderingham,eng ENG,GK,33.0,15000
22,Callum Marshall,,CF,20.0,10000
23,Andy Irving,sct SCO,MF,24.0,5000
0,Evanilson,br BRA,FW,24.0,85000
1,Justin Kluivert,nl NED,MF,25.0,80000
2,Kepa Arrizabalaga,es ESP,GK,29.0,75000
3,Ryan Christie,sct SCO,MF,29.0,70000
4,Luis Sinisterra,co COL,"FW,MF",25.0,65000
5,Lewis Cook,eng ENG,"MF,DF",27.0,60000
6,Tyler Adams,us USA,MF,25.0,60000
7,David Brooks,wls WAL,"FW,MF",27.0,50000
8,Marcos Senesi,ar ARG,DF,27.0,50000
9,Antoine Semenyo,gh GHA,FW,24.0,50000
10,Ilya Zabarnyi,,CB,22.0,50000
11,Philip Billing,dk DEN,MF,28.0,45000
12,Alex Scott,eng ENG,MF,20.0,40000
13,Adam Smith,eng ENG,DF,33.0,40000
14,Dango Ouattara,bf BFA,FW,22.0,35000
15,Marcus Tavernier,eng ENG,"FW,MF",25.0,35000
16,Max Aarons,eng ENG,DF,24.0,35000
17,Chris Mepham,wls WAL,CB,27.0,35000
18,Milos Kerkez,hu HUN,DF,20.0,30000
19,Dean Huijsen,,CB,19.0,30000
20,Julian Araujo,mx MEX,DF,22.0,25000
21,Jaidon Anthony,eng ENG,"FW,MF",24.0,25000
22,Mark Travers,ie IRL,GK,25.0,20000
23,Enes Ünal,tr TUR,"FW,MF",27.0,15000
24,Joe Rothwell,eng ENG,CM,30.0,8000
25,James Hill,eng ENG,DF,22.0,5000
26,Will Dennis,eng ENG,GK,24.0,2000
0,Abdoulaye Doucouré,ml MLI,MF,31.0,130000
1,Jordan Pickford,eng ENG,GK,30.0,125000
2,Idrissa Gana Gueye,sn SEN,MF,34.0,120000
3,Dominic Calvert-Lewin,eng ENG,FW,27.0,100000
4,James Tarkowski,eng ENG,DF,31.0,100000
5,Jack Harrison,eng ENG,FW,27.0,90000
6,Michael Keane,eng ENG,DF,31.0,80000
7,Mason Holgate,jm JAM,"FW,DF",27.0,70000
8,Vitaliy Mykolenko,ua UKR,DF,25.0,58000
9,Séamus Coleman,ie IRL,DF,35.0,55000
10,Beto,gw GNB,FW,26.0,50000
11,Orel Mangala,be BEL,MF,26.0,50000
12,Iliman Ndiaye,sn SEN,FW,24.0,45000
13,Armando Broja,al ALB,FW,22.0,40000
14,Ashley Young,eng ENG,DF,39.0,40000
15,Jarrad Branthwaite,eng ENG,DF,22.0,35000
16,Jake O'Brien,,CB,23.0,35000
17,James Garner,eng ENG,"MF,DF",23.0,30000
18,Asmir Begović,ba BIH,GK,37.0,30000
19,Youssef Chermiti,,CF,20.0,30000
20,Nathan Patterson,sct SCO,DF,22.0,28000
21,Dwight McNeil,eng ENG,"MF,FW",24.0,25000
22,Tim Iroegbunam,,CM,21.0,20000
23,João Virgínia,pt POR,GK,24.0,7500
0,Mohamed Salah,eg EGY,FW,32.0,350000
1,Virgil van Dijk,nl NED,DF,33.0,220000
2,Trent Alexander-Arnold,eng ENG,DF,25.0,180000
3,Andrew Robertson,sct SCO,DF,30.0,160000
4,Alisson,br BRA,GK,31.0,150000
5,Federico Chiesa,it ITA,FW,26.0,150000
6,Ryan Gravenberch,nl NED,MF,22.0,150000
7,Alexis Mac Allister,ar ARG,MF,25.0,150000
8,Darwin Núñez,uy URU,FW,25.0,140000
9,Diogo Jota,pt POR,FW,27.0,140000
10,Cody Gakpo,nl NED,FW,25.0,120000
11,Dominik Szoboszlai,hu HUN,MF,23.0,120000
12,Joe Gomez,eng ENG,DF,27.0,85000
13,Kostas Tsimikas,gr GRE,DF,28.0,75000
14,Ibrahima Konaté,fr FRA,DF,25.0,70000
15,Nathaniel Phillips,eng ENG,CB,27.0,65000
16,Luis Díaz,co COL,FW,27.0,55000
17,Wataru Endo,jp JPN,"MF,DF",31.0,50000
18,Harvey Elliott,eng ENG,"MF,FW",21.0,40000
19,Stefan Bajcetic,,DM,20.0,40000
20,Jarell Quansah,,CB,22.0,30000
21,Curtis Jones,eng ENG,MF,23.0,15000
22,Ben Doak,,RW,19.0,15000
23,Conor Bradley,nir NIR,DF,21.0,10000
24,Caoimhín Kelleher,ie IRL,GK,25.0,10000
25,Rhys Williams,eng ENG,CB,24.0,10000
26,Vitezslav Jaros,,GK,23.0,7000
0,Kevin De Bruyne,be BEL,MF,33.0,400000
1,Erling Haaland,no NOR,FW,24.0,375000
2,Bernardo Silva,pt POR,"MF,FW",29.0,300000
3,Jack Grealish,eng ENG,"FW,MF",28.0,300000
4,John Stones,eng ENG,"DF,MF",30.0,250000
5,İlkay Gündoğan,de GER,MF,33.0,230000
6,Phil Foden,eng ENG,"MF,FW",24.0,225000
7,Rodri,es ESP,MF,28.0,220000
8,Joško Gvardiol,hr CRO,DF,22.0,200000
9,Rúben Dias,pt POR,DF,27.0,180000
10,Manuel Akanji,ch SUI,DF,29.0,180000
11,Kyle Walker,eng ENG,DF,34.0,175000
12,Nathan Aké,nl NED,DF,29.0,160000
13,Mateo Kovačić,hr CRO,MF,30.0,150000
14,Matheus Nunes,pt POR,"MF,DF",25.0,130000
15,Ederson,br BRA,GK,30.0,100000
16,Stefan Ortega,de GER,GK,31.0,90000
17,Oscar Bobb,,RW,21.0,50000
18,Jeremy Doku,be BEL,FW,22.0,50000
19,Sávio,br BRA,"FW,MF",20.0,40000
20,Scott Carson,eng ENG,GK,38.0,30000
21,Rico Lewis,,RB,19.0,25000
22,Issa Kaboré,bf BFA,"DF,MF",23.0,20000
23,James McAtee,,CM,22.0,15000
24,Josh Wilson-Esbrand,,LB,22.0,7000
0,Boubacar Kamara,fr FRA,"MF,DF",24.0,150000
1,Youri Tielemans,be BEL,MF,27.0,150000
2,Emiliano Martínez,ar ARG,GK,31.0,150000
3,Amadou Onana,be BEL,MF,22.0,140000
4,Ollie Watkins,eng ENG,FW,28.0,130000
5,Lucas Digne,fr FRA,DF,31.0,120000
6,John McGinn,sct SCO,"MF,FW",29.0,120000
7,Leon Bailey,jm JAM,FW,26.0,120000
8,Diego Carlos,br BRA,DF,31.0,100000
9,Tyrone Mings,eng ENG,DF,31.0,100000
10,Ian Maatsen,nl NED,"DF,FW",22.0,100000
11,Pau Torres,es ESP,DF,27.0,100000
12,Leander Dendoncker,be BEL,DM,29.0,90000
13,Matty Cash,pl POL,"DF,FW",26.0,80000
14,Emi Buendía,ar ARG,"FW,MF",27.0,75000
15,Jáder Durán,co COL,FW,20.0,75000
