,Pos,Age,Starts,Player,urls,scouting_url,match_logs,position_group
32,MF,26.684931506849313,0,Arthur Melo,https://fbref.com/en/players/48b3dd60/Arthur-Melo,https://fbref.com/en/players/48b3dd60/scout/365_m1/Arthur-Melo-Scouting-Report,https://fbref.com/en/players/48b3dd60/matchlogs/2022-2023/summary/Arthur-Melo-Match-Logs,Central Midfielders
33,DF,19.71780821917808,0,Calvin Ramsay,https://fbref.com/en/players/d720e834/Calvin-Ramsay,https://fbref.com/en/players/d720e834/scout/365_m1/Calvin-Ramsay-Scouting-Report,https://fbref.com/en/players/d720e834/matchlogs/2022-2023/summary/Calvin-Ramsay-Match-Logs,Defender
34,DF,22.205479452054796,0,Rhys Williams,https://fbref.com/en/players/012c975a/Rhys-Williams,https://fbref.com/en/players/012c975a/scout/365_m1/Rhys-Williams-Scouting-Report,https://fbref.com/en/players/012c975a/matchlogs/2022-2023/summary/Rhys-Williams-Match-Logs,Defender
0,GK,27.594520547945205,31,David Raya,https://fbref.com/en/players/98ea5115/David-Raya,https://fbref.com/en/players/98ea5115/scout/365_m1/David-Raya-Scouting-Report,https://fbref.com/en/players/98ea5115/matchlogs/2022-2023/summary/David-Raya-Match-Logs,GK
1,MF,27.2986301369863,31,Mathias Jensen,https://fbref.com/en/players/0f134faf/Mathias-Jensen,https://fbref.com/en/players/0f134faf/scout/365_m1/Mathias-Jensen-Scouting-Report,https://fbref.com/en/players/0f134faf/matchlogs/2022-2023/summary/Mathias-Jensen-Match-Logs,Central Midfielders
2,DF,25.783561643835615,30,Rico Henry,https://fbref.com/en/players/8a3c1dc7/Rico-Henry,https://fbref.com/en/players/8a3c1dc7/scout/365_m1/Rico-Henry-Scouting-Report,https://fbref.com/en/players/8a3c1dc7/matchlogs/2022-2023/summary/Rico-Henry-Match-Logs,Defender
3,DF,33.57808219178082,30,Ben Mee,https://fbref.com/en/players/8df7a2fb/Ben-Mee,https://fbref.com/en/players/8df7a2fb/scout/365_m1/Ben-Mee-Scouting-Report,https://fbref.com/en/players/8df7a2fb/matchlogs/2022-2023/summary/Ben-Mee-Match-Logs,Defender
4,FW,23.7013698630137,30,Bryan Mbeumo,https://fbref.com/en/players/6afaebf2/Bryan-Mbeumo,https://fbref.com/en/players/6afaebf2/scout/365_m1/Bryan-Mbeumo-Scouting-Report,https://fbref.com/en/players/6afaebf2/matchlogs/2022-2023/summary/Bryan-Mbeumo-Match-Logs,Forwards
5,FW,27.095890410958905,29,Ivan Toney,https://fbref.com/en/players/e09f279b/Ivan-Toney,https://fbref.com/en/players/e09f279b/scout/365_m1/Ivan-Toney-Scouting-Report,https://fbref.com/en/players/e09f279b/matchlogs/2022-2023/summary/Ivan-Toney-Match-Logs,Forwards
6,DF,29.893150684931506,23,Ethan Pinnock,https://fbref.com/en/players/e541326e/Ethan-Pinnock,https://fbref.com/en/players/e541326e/scout/365_m1/Ethan-Pinnock-Scouting-Report,https://fbref.com/en/players/e541326e/matchlogs/2022-2023/summary/Ethan-Pinnock-Match-Logs,Defender
7,MF,29.112328767123287,20,Christian Norgaard,https://fbref.com/en/players/df0a4c90/Christian-Norgaard,https://fbref.com/en/players/df0a4c90/scout/365_m1/Christian-Norgaard-Scouting-Report,https://fbref.com/en/players/df0a4c90/matchlogs/2022-2023/summary/Christian-Norgaard-Match-Logs,Central Midfielders
8,"MF,DF",24.945205479452056,17,Vitaly Janelt,https://fbref.com/en/players/8449d35e/Vitaly-Janelt,https://fbref.com/en/players/8449d35e/scout/365_m1/Vitaly-Janelt-Scouting-Report,https://fbref.com/en/players/8449d35e/matchlogs/2022-2023/summary/Vitaly-Janelt-Match-Logs,Defensive-Midfielders
9,DF,20.86027397260274,17,Aaron Hickey,https://fbref.com/en/players/1780bb4a/Aaron-Hickey,https://fbref.com/en/players/1780bb4a/scout/365_m1/Aaron-Hickey-Scouting-Report,https://fbref.com/en/players/1780bb4a/matchlogs/2022-2023/summary/Aaron-Hickey-Match-Logs,Defender
10,MF,24.49041095890411,14,Josh Dasilva,https://fbref.com/en/players/60344e4f/Josh-Dasilva,https://fbref.com/en/players/60344e4f/scout/365_m1/Josh-Dasilva-Scouting-Report,https://fbref.com/en/players/60344e4f/matchlogs/2022-2023/summary/Josh-Dasilva-Match-Logs,Central Midfielders
11,FW,26.627397260273973,12,Yoane Wissa,https://fbref.com/en/players/2500cef9/Yoane-Wissa,https://fbref.com/en/players/2500cef9/scout/365_m1/Yoane-Wissa-Scouting-Report,https://fbref.com/en/players/2500cef9/matchlogs/2022-2023/summary/Yoane-Wissa-Match-Logs,Forwards
12,DF,23.82191780821918,11,Mads Roerslev,https://fbref.com/en/players/57c94db2/Mads-Roerslev,https://fbref.com/en/players/57c94db2/scout/365_m1/Mads-Roerslev-Scouting-Report,https://fbref.com/en/players/57c94db2/matchlogs/2022-2023/summary/Mads-Roerslev-Match-Logs,Defender
13,DF,25.008219178082193,9,Kristoffer Ajer,https://fbref.com/en/players/a8c0acb7/Kristoffer-Ajer,https://fbref.com/en/players/a8c0acb7/scout/365_m1/Kristoffer-Ajer-Scouting-Report,https://fbref.com/en/players/a8c0acb7/matchlogs/2022-2023/summary/Kristoffer-Ajer-Match-Logs,Defender
14,DF,32.18082191780822,9,Pontus Jansson,https://fbref.com/en/players/172e52d8/Pontus-Jansson,https://fbref.com/en/players/172e52d8/scout/365_m1/Pontus-Jansson-Scouting-Report,https://fbref.com/en/players/172e52d8/matchlogs/2022-2023/summary/Pontus-Jansson-Match-Logs,Defender
15,DF,32.99178082191781,8,Mathias Jorgensen,https://fbref.com/en/players/0db5d2c8/Mathias-Jorgensen,https://fbref.com/en/players/0db5d2c8/scout/365_m1/Mathias-Jorgensen-Scouting-Report,https://fbref.com/en/players/0db5d2c8/matchlogs/2022-2023/summary/Mathias-Jorgensen-Match-Logs,Defender
16,"MF,FW",22.797260273972604,6,Mikkel Damsgaard,https://fbref.com/en/players/215f3907/Mikkel-Damsgaard,https://fbref.com/en/players/215f3907/scout/365_m1/Mikkel-Damsgaard-Scouting-Report,https://fbref.com/en/players/215f3907/matchlogs/2022-2023/summary/Mikkel-Damsgaard-Match-Logs,Attacking Midfielders
17,MF,25.03287671232877,4,Shandon Baptiste,https://fbref.com/en/players/2886c9b5/Shandon-Baptiste,https://fbref.com/en/players/2886c9b5/scout/365_m1/Shandon-Baptiste-Scouting-Report,https://fbref.com/en/players/2886c9b5/matchlogs/2022-2023/summary/Shandon-Baptiste-Match-Logs,Central Midfielders
18,MF,25.2986301369863,4,Frank Onyeka,https://fbref.com/en/players/2944f86f/Frank-Onyeka,https://fbref.com/en/players/2944f86f/scout/365_m1/Frank-Onyeka-Scouting-Report,https://fbref.com/en/players/2944f86f/matchlogs/2022-2023/summary/Frank-Onyeka-Match-Logs,Central Midfielders
19,FW,21.394520547945206,3,Kevin Schade,https://fbref.com/en/players/52afb588/Kevin-Schade,https://fbref.com/en/players/52afb588/scout/365_m1/Kevin-Schade-Scouting-Report,https://fbref.com/en/players/52afb588/matchlogs/2022-2023/summary/Kevin-Schade-Match-Logs,Forwards
20,"FW,MF",22.156164383561645,3,Keane Lewis Potter,https://fbref.com/en/players/41f08ac8/Keane-Lewis-Potter,https://fbref.com/en/players/41f08ac8/scout/365_m1/Keane-Lewis-Potter-Scouting-Report,https://fbref.com/en/players/41f08ac8/matchlogs/2022-2023/summary/Keane-Lewis-Potter-Match-Logs,Attacking Midfielders
