,Pos,Age,Starts,Player,urls,scouting_url,match_logs,position_group
1,MF,28.465753424657535,31,James Ward Prowse,https://fbref.com/en/players/3515d404/James-Ward-Prowse,https://fbref.com/en/players/3515d404/scout/365_m1/James-Ward-Prowse-Scouting-Report,https://fbref.com/en/players/3515d404/matchlogs/2022-2023/summary/James-Ward-Prowse-Match-Logs,Central Midfielders
2,DF,26.019178082191782,23,Kyle Walker Peters,https://fbref.com/en/players/984a5a64/Kyle-Walker-Peters,https://fbref.com/en/players/984a5a64/scout/365_m1/Kyle-Walker-Peters-Scouting-Report,https://fbref.com/en/players/984a5a64/matchlogs/2022-2023/summary/Kyle-Walker-Peters-Match-Logs,Defender
3,"MF,FW",28.70958904109589,23,Mohamed Elyounoussi,https://fbref.com/en/players/68dc0dac/Mohamed-Elyounoussi,https://fbref.com/en/players/68dc0dac/scout/365_m1/Mohamed-Elyounoussi-Scouting-Report,https://fbref.com/en/players/68dc0dac/matchlogs/2022-2023/summary/Mohamed-Elyounoussi-Match-Logs,Attacking Midfielders
4,FW,26.76986301369863,22,Che Adams,https://fbref.com/en/players/f2bf1b0f/Che-Adams,https://fbref.com/en/players/f2bf1b0f/scout/365_m1/Che-Adams-Scouting-Report,https://fbref.com/en/players/f2bf1b0f/matchlogs/2022-2023/summary/Che-Adams-Match-Logs,Forwards
5,DF,24.008219178082193,21,Mohammed Salisu,https://fbref.com/en/players/0b33f6ad/Mohammed-Salisu,https://fbref.com/en/players/0b33f6ad/scout/365_m1/Mohammed-Salisu-Scouting-Report,https://fbref.com/en/players/0b33f6ad/matchlogs/2022-2023/summary/Mohammed-Salisu-Match-Logs,Defender
6,DF,21.356164383561644,21,Armel Bella Kotchap,https://fbref.com/en/players/a39d11bc/Armel-Bella-Kotchap,https://fbref.com/en/players/a39d11bc/scout/365_m1/Armel-Bella-Kotchap-Scouting-Report,https://fbref.com/en/players/a39d11bc/matchlogs/2022-2023/summary/Armel-Bella-Kotchap-Match-Logs,Defender
7,DF,25.575342465753426,20,Romain Perraud,https://fbref.com/en/players/6dfd8f05/Romain-Perraud,https://fbref.com/en/players/6dfd8f05/scout/365_m1/Romain-Perraud-Scouting-Report,https://fbref.com/en/players/6dfd8f05/matchlogs/2022-2023/summary/Romain-Perraud-Match-Logs,Defender
8,MF,19.284931506849315,19,Romeo Lavia,https://fbref.com/en/players/ecad9aa5/Romeo-Lavia,https://fbref.com/en/players/ecad9aa5/scout/365_m1/Romeo-Lavia-Scouting-Report,https://fbref.com/en/players/ecad9aa5/matchlogs/2022-2023/summary/Romeo-Lavia-Match-Logs,Central Midfielders
9,DF,27.02191780821918,13,Jan Bednarek,https://fbref.com/en/players/4115ce4e/Jan-Bednarek,https://fbref.com/en/players/4115ce4e/scout/365_m1/Jan-Bednarek-Scouting-Report,https://fbref.com/en/players/4115ce4e/matchlogs/2022-2023/summary/Jan-Bednarek-Match-Logs,Defender
10,"MF,FW",26.747945205479454,12,Joe Aribo,https://fbref.com/en/players/328f7d51/Joe-Aribo,https://fbref.com/en/players/328f7d51/scout/365_m1/Joe-Aribo-Scouting-Report,https://fbref.com/en/players/328f7d51/matchlogs/2022-2023/summary/Joe-Aribo-Match-Logs,Attacking Midfielders
11,FW,26.18904109589041,12,Adam Armstrong,https://fbref.com/en/players/68c720b5/Adam-Armstrong,https://fbref.com/en/players/68c720b5/scout/365_m1/Adam-Armstrong-Scouting-Report,https://fbref.com/en/players/68c720b5/matchlogs/2022-2023/summary/Adam-Armstrong-Match-Logs,Forwards
12,"DF,MF",25.64109589041096,11,Ainsley Maitland Niles,https://fbref.com/en/players/e3a5814e/Ainsley-Maitland-Niles,https://fbref.com/en/players/e3a5814e/scout/365_m1/Ainsley-Maitland-Niles-Scouting-Report,https://fbref.com/en/players/e3a5814e/matchlogs/2022-2023/summary/Ainsley-Maitland-Niles-Match-Logs,Defender
13,"MF,FW",31.057534246575344,11,Stuart Armstrong,https://fbref.com/en/players/97333cf5/Stuart-Armstrong,https://fbref.com/en/players/97333cf5/scout/365_m1/Stuart-Armstrong-Scouting-Report,https://fbref.com/en/players/97333cf5/matchlogs/2022-2023/summary/Stuart-Armstrong-Match-Logs,Attacking Midfielders
14,MF,24.117808219178084,11,Ibrahima Diallo,https://fbref.com/en/players/11ff3d56/Ibrahima-Diallo,https://fbref.com/en/players/11ff3d56/scout/365_m1/Ibrahima-Diallo-Scouting-Report,https://fbref.com/en/players/11ff3d56/matchlogs/2022-2023/summary/Ibrahima-Diallo-Match-Logs,Central Midfielders
15,DF,26.589041095890412,8,Duje Caleta Car,https://fbref.com/en/players/94f8d10c/Duje-Caleta-Car,https://fbref.com/en/players/94f8d10c/scout/365_m1/Duje-Caleta-Car-Scouting-Report,https://fbref.com/en/players/94f8d10c/matchlogs/2022-2023/summary/Duje-Caleta-Car-Match-Logs,Defender
16,"FW,MF",21.175342465753424,8,Kamaldeen Sulemana,https://fbref.com/en/players/a62f8bf1/Kamaldeen-Sulemana,https://fbref.com/en/players/a62f8bf1/scout/365_m1/Kamaldeen-Sulemana-Scouting-Report,https://fbref.com/en/players/a62f8bf1/matchlogs/2022-2023/summary/Kamaldeen-Sulemana-Match-Logs,Attacking Midfielders
17,DF,26.213698630136985,7,Lyanco,https://fbref.com/en/players/b5bf1770/Lyanco,https://fbref.com/en/players/b5bf1770/scout/365_m1/Lyanco-Scouting-Report,https://fbref.com/en/players/b5bf1770/matchlogs/2022-2023/summary/Lyanco-Match-Logs,Defender
18,"FW,MF",34.0958904109589,7,Theo Walcott,https://fbref.com/en/players/1ecb65be/Theo-Walcott,https://fbref.com/en/players/1ecb65be/scout/365_m1/Theo-Walcott-Scouting-Report,https://fbref.com/en/players/1ecb65be/matchlogs/2022-2023/summary/Theo-Walcott-Match-Logs,Attacking Midfielders
19,"DF,FW",24.846575342465755,6,Moussa Djenepo,https://fbref.com/en/players/254147d4/Moussa-Djenepo,https://fbref.com/en/players/254147d4/scout/365_m1/Moussa-Djenepo-Scouting-Report,https://fbref.com/en/players/254147d4/matchlogs/2022-2023/summary/Moussa-Djenepo-Match-Logs,Wing-Back
20,"MF,FW",20.386301369863013,6,Carlos Alcaraz,https://fbref.com/en/players/4abac767/Carlos-Alcaraz,https://fbref.com/en/players/4abac767/scout/365_m1/Carlos-Alcaraz-Scouting-Report,https://fbref.com/en/players/4abac767/matchlogs/2022-2023/summary/Carlos-Alcaraz-Match-Logs,Attacking Midfielders
21,"FW,MF",20.224657534246575,5,Samuel Edozie,https://fbref.com/en/players/007414dd/Samuel-Edozie,https://fbref.com/en/players/007414dd/scout/365_m1/Samuel-Edozie-Scouting-Report,https://fbref.com/en/players/007414dd/matchlogs/2022-2023/summary/Samuel-Edozie-Match-Logs,Attacking Midfielders
22,"FW,MF",20.723287671232878,4,Sekou Mara,https://fbref.com/en/players/3544641e/Sekou-Mara,https://fbref.com/en/players/3544641e/scout/365_m1/Sekou-Mara-Scouting-Report,https://fbref.com/en/players/3544641e/matchlogs/2022-2023/summary/Sekou-Mara-Match-Logs,Attacking Midfielders
23,FW,28.895890410958906,3,Paul Onuachu,https://fbref.com/en/players/c06d1086/Paul-Onuachu,https://fbref.com/en/players/c06d1086/scout/365_m1/Paul-Onuachu-Scouting-Report,https://fbref.com/en/players/c06d1086/matchlogs/2022-2023/summary/Paul-Onuachu-Match-Logs,Forwards
24,DF,25.523287671232875,2,James Bree,https://fbref.com/en/players/c07b7c5c/James-Bree,https://fbref.com/en/players/c07b7c5c/scout/365_m1/James-Bree-Scouting-Report,https://fbref.com/en/players/c07b7c5c/matchlogs/2022-2023/summary/James-Bree-Match-Logs,Defender
25,DF,19.268493150684932,2,Juan Larios,https://fbref.com/en/players/cf7fb13a/Juan-Larios,https://fbref.com/en/players/cf7fb13a/scout/365_m1/Juan-Larios-Scouting-Report,https://fbref.com/en/players/cf7fb13a/matchlogs/2022-2023/summary/Juan-Larios-Match-Logs,Defender
26,MF,31.56986301369863,1,Oriol Romeu,https://fbref.com/en/players/4b511457/Oriol-Romeu,https://fbref.com/en/players/4b511457/scout/365_m1/Oriol-Romeu-Scouting-Report,https://fbref.com/en/players/4b511457/matchlogs/2022-2023/summary/Oriol-Romeu-Match-Logs,Central Midfielders
27,DF,24.156164383561645,1,Yan Valery,https://fbref.com/en/players/531a4aa8/Yan-Valery,https://fbref.com/en/players/531a4aa8/scout/365_m1/Yan-Valery-Scouting-Report,https://fbref.com/en/players/531a4aa8/matchlogs/2022-2023/summary/Yan-Valery-Match-Logs,Defender
28,DF,29.22739726027397,0,Jack Stephens,https://fbref.com/en/players/6adbc307/Jack-Stephens,https://fbref.com/en/players/6adbc307/scout/365_m1/Jack-Stephens-Scouting-Report,https://fbref.com/en/players/6adbc307/matchlogs/2022-2023/summary/Jack-Stephens-Match-Logs,Defender
29,MF,30.306849315068494,0,Mislav Orsic,https://fbref.com/en/players/ee950928/Mislav-Orsic,https://fbref.com/en/players/ee950928/scout/365_m1/Mislav-Orsic-Scouting-Report,https://fbref.com/en/players/ee950928/matchlogs/2022-2023/summary/Mislav-Orsic-Match-Logs,Central Midfielders
30,DF,29.123287671232877,0,Nathan Redmond,https://fbref.com/en/players/ab651565/Nathan-Redmond,https://fbref.com/en/players/ab651565/scout/365_m1/Nathan-Redmond-Scouting-Report,https://fbref.com/en/players/ab651565/matchlogs/2022-2023/summary/Nathan-Redmond-Match-Logs,Defender
31,GK,41.558904109589044,0,Willy Caballero,https://fbref.com/en/players/a179d516/Willy-Caballero,https://fbref.com/en/players/a179d516/scout/365_m1/Willy-Caballero-Scouting-Report,https://fbref.com/en/players/a179d516/matchlogs/2022-2023/summary/Willy-Caballero-Match-Logs,GK
32,MF,19.572602739726026,0,Ryan Finnigan,https://fbref.com/en/players/9610c9c1/Ryan-Finnigan,https://fbref.com/en/players/9610c9c1/scout/365_m1/Ryan-Finnigan-Scouting-Report,https://fbref.com/en/players/9610c9c1/matchlogs/2022-2023/summary/Ryan-Finnigan-Match-Logs,Central Midfielders
33,GK,33.37808219178082,0,Alex McCarthy,https://fbref.com/en/players/36c2ca73/Alex-McCarthy,https://fbref.com/en/players/36c2ca73/scout/365_m1/Alex-McCarthy-Scouting-Report,https://fbref.com/en/players/36c2ca73/matchlogs/2022-2023/summary/Alex-McCarthy-Match-Logs,GK
34,FW,17.243835616438357,0,Jimmy Morgan,https://fbref.com/en/players/f9d409a1/Jimmy-Morgan,https://fbref.com/en/players/f9d409a1/scout/365_m1/Jimmy-Morgan-Scouting-Report,https://fbref.com/en/players/f9d409a1/matchlogs/2022-2023/summary/Jimmy-Morgan-Match-Logs,Forwards
35,DF,18.89041095890411,0,Lewis Payne,https://fbref.com/en/players/32e9d210/Lewis-Payne,https://fbref.com/en/players/32e9d210/scout/365_m1/Lewis-Payne-Scouting-Report,https://fbref.com/en/players/32e9d210/matchlogs/2022-2023/summary/Lewis-Payne-Match-Logs,Defender
0,"FW,MF",23.85753424657534,26,Kai Havertz,https://fbref.com/en/players/fed7cb61/Kai-Havertz,https://fbref.com/en/players/fed7cb61/scout/365_m1/Kai-Havertz-Scouting-Report,https://fbref.com/en/players/fed7cb61/matchlogs/2022-2023/summary/Kai-Havertz-Match-Logs,Attacking Midfielders
1,GK,28.545205479452054,23,Kepa Arrizabalaga,https://fbref.com/en/players/28d596a0/Kepa-Arrizabalaga,https://fbref.com/en/players/28d596a0/scout/365_m1/Kepa-Arrizabalaga-Scouting-Report,https://fbref.com/en/players/28d596a0/matchlogs/2022-2023/summary/Kepa-Arrizabalaga-Match-Logs,GK
2,DF,24.745205479452054,21,Marc Cucurella,https://fbref.com/en/players/1daec722/Marc-Cucurella,https://fbref.com/en/players/1daec722/scout/365_m1/Marc-Cucurella-Scouting-Report,https://fbref.com/en/players/1daec722/matchlogs/2022-2023/summary/Marc-Cucurella-Match-Logs,Defender
3,DF,38.57534246575342,20,Thiago Silva,https://fbref.com/en/players/86e7deaf/Thiago-Silva,https://fbref.com/en/players/86e7deaf/scout/365_m1/Thiago-Silva-Scouting-Report,https://fbref.com/en/players/86e7deaf/matchlogs/2022-2023/summary/Thiago-Silva-Match-Logs,Defender
4,DF,31.832876712328765,20,Kalidou Koulibaly,https://fbref.com/en/players/da974c7b/Kalidou-Koulibaly,https://fbref.com/en/players/da974c7b/scout/365_m1/Kalidou-Koulibaly-Scouting-Report,https://fbref.com/en/players/da974c7b/matchlogs/2022-2023/summary/Kalidou-Koulibaly-Match-Logs,Defender
5,"MF,FW",24.273972602739725,20,Mason Mount,https://fbref.com/en/players/9674002f/Mason-Mount,https://fbref.com/en/players/9674002f/scout/365_m1/Mason-Mount-Scouting-Report,https://fbref.com/en/players/9674002f/matchlogs/2022-2023/summary/Mason-Mount-Match-Logs,Attacking Midfielders
6,"FW,MF",28.364383561643837,18,Raheem Sterling,https://fbref.com/en/players/b400bde0/Raheem-Sterling,https://fbref.com/en/players/b400bde0/scout/365_m1/Raheem-Sterling-Scouting-Report,https://fbref.com/en/players/b400bde0/matchlogs/2022-2023/summary/Raheem-Sterling-Match-Logs,Attacking Midfielders
7,"MF,DF",27.23835616438356,17,Ruben Loftus Cheek,https://fbref.com/en/players/e97fd090/Ruben-Loftus-Cheek,https://fbref.com/en/players/e97fd090/scout/365_m1/Ruben-Loftus-Cheek-Scouting-Report,https://fbref.com/en/players/e97fd090/matchlogs/2022-2023/summary/Ruben-Loftus-Cheek-Match-Logs,Defensive-Midfielders
8,MF,31.33150684931507,15,Jorginho,https://fbref.com/en/players/45db685d/Jorginho,https://fbref.com/en/players/45db685d/scout/365_m1/Jorginho-Scouting-Report,https://fbref.com/en/players/45db685d/matchlogs/2022-2023/summary/Jorginho-Match-Logs,Central Midfielders
9,MF,28.956164383561642,14,Mateo Kovacic,https://fbref.com/en/players/79c0821a/Mateo-Kovacic,https://fbref.com/en/players/79c0821a/scout/365_m1/Mateo-Kovacic-Scouting-Report,https://fbref.com/en/players/79c0821a/matchlogs/2022-2023/summary/Mateo-Kovacic-Match-Logs,Central Midfielders
10,"DF,MF",23.364383561643837,14,Reece James,https://fbref.com/en/players/1265a93a/Reece-James,https://fbref.com/en/players/1265a93a/scout/365_m1/Reece-James-Scouting-Report,https://fbref.com/en/players/1265a93a/matchlogs/2022-2023/summary/Reece-James-Match-Logs,Defender
11,"MF,FW",23.2,12,Conor Gallagher,https://fbref.com/en/players/c2731c10/Conor-Gallagher,https://fbref.com/en/players/c2731c10/scout/365_m1/Conor-Gallagher-Scouting-Report,https://fbref.com/en/players/c2731c10/matchlogs/2022-2023/summary/Conor-Gallagher-Match-Logs,Attacking Midfielders
12,"DF,MF",26.328767123287673,12,Ben Chilwell,https://fbref.com/en/players/d2424d1b/Ben-Chilwell,https://fbref.com/en/players/d2424d1b/scout/365_m1/Ben-Chilwell-Scouting-Report,https://fbref.com/en/players/d2424d1b/matchlogs/2022-2023/summary/Ben-Chilwell-Match-Logs,Defender
13,DF,23.791780821917808,12,Trevoh Chalobah,https://fbref.com/en/players/5515376c/Trevoh-Chalobah,https://fbref.com/en/players/5515376c/scout/365_m1/Trevoh-Chalobah-Scouting-Report,https://fbref.com/en/players/5515376c/matchlogs/2022-2023/summary/Trevoh-Chalobah-Match-Logs,Defender
14,DF,33.64383561643836,11,Cesar Azpilicueta,https://fbref.com/en/players/53cad200/Cesar-Azpilicueta,https://fbref.com/en/players/53cad200/scout/365_m1/Cesar-Azpilicueta-Scouting-Report,https://fbref.com/en/players/53cad200/matchlogs/2022-2023/summary/Cesar-Azpilicueta-Match-Logs,Defender
15,MF,22.254794520547946,11,Enzo Fernandez,https://fbref.com/en/players/5ff4ab71/Enzo-Fernandez,https://fbref.com/en/players/5ff4ab71/scout/365_m1/Enzo-Fernandez-Scouting-Report,https://fbref.com/en/players/5ff4ab71/matchlogs/2022-2023/summary/Enzo-Fernandez-Match-Logs,Central Midfielders
16,"FW,MF",23.44109589041096,10,Joao Felix,https://fbref.com/en/players/8aafd64f/Joao-Felix,https://fbref.com/en/players/8aafd64f/scout/365_m1/Joao-Felix-Scouting-Report,https://fbref.com/en/players/8aafd64f/matchlogs/2022-2023/summary/Joao-Felix-Match-Logs,Attacking Midfielders
17,"FW,DF",24.586301369863016,8,Christian Pulisic,https://fbref.com/en/players/1bf33a9a/Christian-Pulisic,https://fbref.com/en/players/1bf33a9a/scout/365_m1/Christian-Pulisic-Scouting-Report,https://fbref.com/en/players/1bf33a9a/matchlogs/2022-2023/summary/Christian-Pulisic-Match-Logs,Wing-Back
18,DF,22.339726027397262,8,Wesley Fofana,https://fbref.com/en/players/132a82f1/Wesley-Fofana,https://fbref.com/en/players/132a82f1/scout/365_m1/Wesley-Fofana-Scouting-Report,https://fbref.com/en/players/132a82f1/matchlogs/2022-2023/summary/Wesley-Fofana-Match-Logs,Defender
19,GK,31.136986301369863,8,Edouard Mendy,https://fbref.com/en/players/33887998/Edouard-Mendy,https://fbref.com/en/players/33887998/scout/365_m1/Edouard-Mendy-Scouting-Report,https://fbref.com/en/players/33887998/matchlogs/2022-2023/summary/Edouard-Mendy-Match-Logs,GK
20,DF,22.068493150684933,8,Benoit Badiashile,https://fbref.com/en/players/06df8256/Benoit-Badiashile,https://fbref.com/en/players/06df8256/scout/365_m1/Benoit-Badiashile-Scouting-Report,https://fbref.com/en/players/06df8256/matchlogs/2022-2023/summary/Benoit-Badiashile-Match-Logs,Defender
21,"FW,MF",30.087671232876712,6,Hakim Ziyech,https://fbref.com/en/players/6622454d/Hakim-Ziyech,https://fbref.com/en/players/6622454d/scout/365_m1/Hakim-Ziyech-Scouting-Report,https://fbref.com/en/players/6622454d/matchlogs/2022-2023/summary/Hakim-Ziyech-Match-Logs,Attacking Midfielders
22,"FW,MF",22.28767123287671,5,Mykhailo Mudryk,https://fbref.com/en/players/049a888d/Mykhailo-Mudryk,https://fbref.com/en/players/049a888d/scout/365_m1/Mykhailo-Mudryk-Scouting-Report,https://fbref.com/en/players/049a888d/matchlogs/2022-2023/summary/Mykhailo-Mudryk-Match-Logs,Attacking Midfielders
23,MF,26.413698630136988,5,Denis Zakaria,https://fbref.com/en/players/384d58d9/Denis-Zakaria,https://fbref.com/en/players/384d58d9/scout/365_m1/Denis-Zakaria-Scouting-Report,https://fbref.com/en/players/384d58d9/matchlogs/2022-2023/summary/Denis-Zakaria-Match-Logs,Central Midfielders
24,FW,33.83835616438356,4,Pierre Emerick Aubameyang,https://fbref.com/en/players/d5dd5f1f/Pierre-Emerick-Aubameyang,https://fbref.com/en/players/d5dd5f1f/scout/365_m1/Pierre-Emerick-Aubameyang-Scouting-Report,https://fbref.com/en/players/d5dd5f1f/matchlogs/2022-2023/summary/Pierre-Emerick-Aubameyang-Match-Logs,Forwards
25,"DF,MF",18.613698630136987,4,Lewis Hall,https://fbref.com/en/players/da011f18/Lewis-Hall,https://fbref.com/en/players/da011f18/scout/365_m1/Lewis-Hall-Scouting-Report,https://fbref.com/en/players/da011f18/matchlogs/2022-2023/summary/Lewis-Hall-Match-Logs,Defender
26,MF,32.06027397260274,3,NGolo Kante,https://fbref.com/en/players/b9fbae28/NGolo-Kante,https://fbref.com/en/players/b9fbae28/scout/365_m1/NGolo-Kante-Scouting-Report,https://fbref.com/en/players/b9fbae28/matchlogs/2022-2023/summary/NGolo-Kante-Match-Logs,Central Midfielders
27,FW,21.60821917808219,2,Armando Broja,https://fbref.com/en/players/97220da2/Armando-Broja,https://fbref.com/en/players/97220da2/scout/365_m1/Armando-Broja-Scouting-Report,https://fbref.com/en/players/97220da2/matchlogs/2022-2023/summary/Armando-Broja-Match-Logs,Forwards
28,"FW,DF",21.112328767123287,2,Noni Madueke,https://fbref.com/en/players/bf34eebd/Noni-Madueke,https://fbref.com/en/players/bf34eebd/scout/365_m1/Noni-Madueke-Scouting-Report,https://fbref.com/en/players/bf34eebd/matchlogs/2022-2023/summary/Noni-Madueke-Match-Logs,Wing-Back
29,"MF,FW",19.4986301369863,1,Carney Chukwuemeka,https://fbref.com/en/players/b2f9c73e/Carney-Chukwuemeka,https://fbref.com/en/players/b2f9c73e/scout/365_m1/Carney-Chukwuemeka-Scouting-Report,https://fbref.com/en/players/b2f9c73e/matchlogs/2022-2023/summary/Carney-Chukwuemeka-Match-Logs,Attacking Midfielders
30,FW,20.326027397260273,1,Datro Fofana,https://fbref.com/en/players/e82900ef/Datro-Fofana,https://fbref.com/en/players/e82900ef/scout/365_m1/Datro-Fofana-Scouting-Report,https://fbref.com/en/players/e82900ef/matchlogs/2022-2023/summary/Datro-Fofana-Match-Logs,Forwards
31,FW,19.471232876712328,0,Omari Hutchinson,https://fbref.com/en/players/bd9553e6/Omari-Hutchinson,https://fbref.com/en/players/bd9553e6/scout/365_m1/Omari-Hutchinson-Scouting-Report,https://fbref.com/en/players/bd9553e6/matchlogs/2022-2023/summary/Omari-Hutchinson-Match-Logs,Forwards
32,"DF,MF",22.5972602739726,0,Ethan Ampadu,https://fbref.com/en/players/10b9fa99/Ethan-Ampadu,https://fbref.com/en/players/10b9fa99/scout/365_m1/Ethan-Ampadu-Scouting-Report,https://fbref.com/en/players/10b9fa99/matchlogs/2022-2023/summary/Ethan-Ampadu-Match-Logs,Defender
33,GK,30.90684931506849,0,Marcus Bettinelli,https://fbref.com/en/players/0d85a4e8/Marcus-Bettinelli,https://fbref.com/en/players/0d85a4e8/scout/365_m1/Marcus-Bettinelli-Scouting-Report,https://fbref.com/en/players/0d85a4e8/matchlogs/2022-2023/summary/Marcus-Bettinelli-Match-Logs,GK
34,MF,21.85753424657534,0,Billy Gilmour,https://fbref.com/en/players/df10e27c/Billy-Gilmour,https://fbref.com/en/players/df10e27c/scout/365_m1/Billy-Gilmour-Scouting-Report,https://fbref.com/en/players/df10e27c/matchlogs/2022-2023/summary/Billy-Gilmour-Match-Logs,Central Midfielders
35,"FW,MF",22.44931506849315,0,Callum Hudson Odoi,https://fbref.com/en/players/15f3ec41/Callum-Hudson-Odoi,https://fbref.com/en/players/15f3ec41/scout/365_m1/Callum-Hudson-Odoi-Scouting-Report,https://fbref.com/en/players/15f3ec41/matchlogs/2022-2023/summary/Callum-Hudson-Odoi-Match-Logs,Attacking Midfielders
36,DF,20.0986301369863,0,Bashir Humphreys,https://fbref.com/en/players/d2b32e91/Bashir-Humphreys,https://fbref.com/en/players/d2b32e91/scout/365_m1/Bashir-Humphreys-Scouting-Report,https://fbref.com/en/players/d2b32e91/matchlogs/2022-2023/summary/Bashir-Humphreys-Match-Logs,Defender
37,MF,19.605479452054794,0,Harvey Vale,https://fbref.com/en/players/a70182a5/Harvey-Vale,https://fbref.com/en/players/a70182a5/scout/365_m1/Harvey-Vale-Scouting-Report,https://fbref.com/en/players/a70182a5/matchlogs/2022-2023/summary/Harvey-Vale-Match-Logs,Central Midfielders
0,DF,25.487671232876714,30,Ezri Konsa,https://fbref.com/en/players/0313a347/Ezri-Konsa,https://fbref.com/en/players/0313a347/scout/365_m1/Ezri-Konsa-Scouting-Report,https://fbref.com/en/players/0313a347/matchlogs/2022-2023/summary/Ezri-Konsa-Match-Logs,Defender
1,GK,30.627397260273973,29,Emiliano Martinez,https://fbref.com/en/players/7956236f/Emiliano-Martinez,https://fbref.com/en/players/7956236f/scout/365_m1/Emiliano-Martinez-Scouting-Report,https://fbref.com/en/players/7956236f/matchlogs/2022-2023/summary/Emiliano-Martinez-Match-Logs,GK
2,FW,27.301369863013697,29,Ollie Watkins,https://fbref.com/en/players/aed3a70f/Ollie-Watkins,https://fbref.com/en/players/aed3a70f/scout/365_m1/Ollie-Watkins-Scouting-Report,https://fbref.com/en/players/aed3a70f/matchlogs/2022-2023/summary/Ollie-Watkins-Match-Logs,Forwards
3,DF,30.101369863013698,28,Tyrone Mings,https://fbref.com/en/players/8397a50c/Tyrone-Mings,https://fbref.com/en/players/8397a50c/scout/365_m1/Tyrone-Mings-Scouting-Report,https://fbref.com/en/players/8397a50c/matchlogs/2022-2023/summary/Tyrone-Mings-Match-Logs,Defender
4,MF,24.945205479452056,26,Douglas Luiz,https://fbref.com/en/players/6f7d826d/Douglas-Luiz,https://fbref.com/en/players/6f7d826d/scout/365_m1/Douglas-Luiz-Scouting-Report,https://fbref.com/en/players/6f7d826d/matchlogs/2022-2023/summary/Douglas-Luiz-Match-Logs,Central Midfielders
5,"MF,FW",21.893150684931506,24,Jacob Ramsey,https://fbref.com/en/players/1544f145/Jacob-Ramsey,https://fbref.com/en/players/1544f145/scout/365_m1/Jacob-Ramsey-Scouting-Report,https://fbref.com/en/players/1544f145/matchlogs/2022-2023/summary/Jacob-Ramsey-Match-Logs,Attacking Midfielders
6,"MF,FW",28.5013698630137,23,John McGinn,https://fbref.com/en/players/90f91999/John-McGinn,https://fbref.com/en/players/90f91999/scout/365_m1/John-McGinn-Scouting-Report,https://fbref.com/en/players/90f91999/matchlogs/2022-2023/summary/John-McGinn-Match-Logs,Attacking Midfielders
7,"FW,MF",25.693150684931506,23,Leon Bailey,https://fbref.com/en/players/3a233281/Leon-Bailey,https://fbref.com/en/players/3a233281/scout/365_m1/Leon-Bailey-Scouting-Report,https://fbref.com/en/players/3a233281/matchlogs/2022-2023/summary/Leon-Bailey-Match-Logs,Attacking Midfielders
8,"MF,FW",26.315068493150687,22,Emi Buendia,https://fbref.com/en/players/66b76d44/Emi-Buendia,https://fbref.com/en/players/66b76d44/scout/365_m1/Emi-Buendia-Scouting-Report,https://fbref.com/en/players/66b76d44/matchlogs/2022-2023/summary/Emi-Buendia-Match-Logs,Attacking Midfielders
9,MF,23.4027397260274,19,Boubacar Kamara,https://fbref.com/en/players/cc77354e/Boubacar-Kamara,https://fbref.com/en/players/cc77354e/scout/365_m1/Boubacar-Kamara-Scouting-Report,https://fbref.com/en/players/cc77354e/matchlogs/2022-2023/summary/Boubacar-Kamara-Match-Logs,Central Midfielders
10,DF,25.698630136986303,18,Matty Cash,https://fbref.com/en/players/2389cdc2/Matty-Cash,https://fbref.com/en/players/2389cdc2/scout/365_m1/Matty-Cash-Scouting-Report,https://fbref.com/en/players/2389cdc2/matchlogs/2022-2023/summary/Matty-Cash-Match-Logs,Defender
11,DF,37.778082191780825,18,Ashley Young,https://fbref.com/en/players/be927d03/Ashley-Young,https://fbref.com/en/players/be927d03/scout/365_m1/Ashley-Young-Scouting-Report,https://fbref.com/en/players/be927d03/matchlogs/2022-2023/summary/Ashley-Young-Match-Logs,Defender
12,DF,29.747945205479454,16,Lucas Digne,https://fbref.com/en/players/1b84dbe1/Lucas-Digne,https://fbref.com/en/players/1b84dbe1/scout/365_m1/Lucas-Digne-Scouting-Report,https://fbref.com/en/players/1b84dbe1/matchlogs/2022-2023/summary/Lucas-Digne-Match-Logs,Defender
13,DF,29.863013698630137,9,Alex Moreno,https://fbref.com/en/players/16e9d0ea/Alex-Moreno,https://fbref.com/en/players/16e9d0ea/scout/365_m1/Alex-Moreno-Scouting-Report,https://fbref.com/en/players/16e9d0ea/matchlogs/2022-2023/summary/Alex-Moreno-Match-Logs,Defender
14,FW,30.73972602739726,8,Danny Ings,https://fbref.com/en/players/07802f7f/Danny-Ings,https://fbref.com/en/players/07802f7f/scout/365_m1/Danny-Ings-Scouting-Report,https://fbref.com/en/players/07802f7f/matchlogs/2022-2023/summary/Danny-Ings-Match-Logs,Forwards
15,"MF,FW",30.852054794520548,7,Philippe Coutinho,https://fbref.com/en/players/0ef89a37/Philippe-Coutinho,https://fbref.com/en/players/0ef89a37/scout/365_m1/Philippe-Coutinho-Scouting-Report,https://fbref.com/en/players/0ef89a37/matchlogs/2022-2023/summary/Philippe-Coutinho-Match-Logs,Attacking Midfielders
